source,shotID,proj_mat,proj_density,proj_diam,angle,velocity,bumper_mat,bumper_density,bumper_thick,standoff,wall_mat,wall_density,wall_yield,wall_thick,result,perforated_class
-,-,-,g/cm3,cm,deg,km/s,-,g/cm3,cm,cm,-,g/cm3,ksi,cm,-,-
Ryan_2011,HD0020170,Al2017-T4,2.796,0.3175,60,2.93,Al6061-T6,2.7,0.04724,5.08,AA6061-T6,2.7,40,0.203,NP,0
Ryan_2011,HD0120079,Al2017-T4,2.796,0.3175,60,3.03,Al6061-T6,2.7,0.04723,5.08,AA6061-T6,2.7,40,0.18,NP,0
Ryan_2011,HD0020015,Al2017-T4,2.796,0.3175,60,3.1,Al6061-T6,2.7,0.04534,5.08,AA6061-T6,2.7,40,0.229,NP,0
Ryan_2011,HD9920275,Al2017-T4,2.796,0.3175,60,3.1,Al6061-T6,2.7,0.0458,5.08,AA6061-T6,2.7,40,0.254,NP,0
Ryan_2011,HD9920274,Al2017-T4,2.796,0.3175,60,4.3,Al6061-T6,2.7,0.04724,5.08,AA6061-T6,2.7,40,0.229,NP,0
Ryan_2011,HD0020062,Al2017-T4,2.796,0.3175,60,4.37,Al6061-T6,2.7,0.04531,5.08,AA6061-T6,2.7,40,0.18,NP,0
Ryan_2011,HD0020014,Al2017-T4,2.796,0.3175,60,4.5,Al6061-T6,2.7,0.0452,5.08,AA6061-T6,2.7,40,0.203,NP,0
Ryan_2011,HD0020195,Al2017-T4,2.796,0.3175,60,4.56,Al6061-T6,2.7,0.04579,5.08,AA6061-T6,2.7,40,0.229,NP,0
Ryan_2011,HD0020059,Al2017-T4,2.796,0.3175,60,5.94,Al6061-T6,2.7,0.045,5.08,AA6061-T6,2.7,40,0.229,NP,0
Ryan_2011,HD0020123,Al2017-T4,2.796,0.3175,60,6,Al6061-T6,2.7,0.0457,5.08,AA6061-T6,2.7,40,0.254,NP,0
Ryan_2011,HD9920273,Al2017-T4,2.796,0.3175,60,6.5,Al6061-T6,2.7,0.04717,5.08,AA6061-T6,2.7,40,0.203,NP,0
Ryan_2011,HD0020061,Al2017-T4,2.796,0.3175,60,6.95,Al6061-T6,2.7,0.04731,5.08,AA6061-T6,2.7,40,0.229,NP,0
TM-2000-209907,SS-190D,Al1100,2.71,0.475,0,2,Al6061-T6,2.7,0.2032,10.16,AA2219-T87,2.84,57,0.3175,NP,0
TM-2000-209907,SS-P-025C,Al6061-T6,2.7,0.475,0,2.59,Al6061-T6,2.7,0.16002,15.24,AA2219-T87,2.84,57,0.3175,NP,0
TM-2000-209907,SS-P-015,Al1100,2.71,0.3175,0,2.85,Al6061-T6,2.7,0.16002,15.24,AA2219-T87,2.84,57,0.3175,NP,0
TM-2000-209907,SS-P-028,Al1100,2.71,0.3175,0,3,Al6061-T6,2.7,0.16002,10.16,AA2219-T87,2.84,57,0.3175,NP,0
TM-2000-209907,SS-P-Ot5C,Al1100,2.71,0.3175,0,3.01,Al6061-T6,2.7,0.16002,15.24,AA2219-T87,2.84,57,0.3175,NP,0
