source,shotID,proj_diam,proj_mat,proj_density,proj_mass,angle,velocity,bumper_mat,bumper_thick,bumper_density,standoff,wall_mat,wall_thick,wall_density,wall_yield,code,result,perforated_class,spalled_class
-,-,cm,-,g/cm3,g,deg,km/s,-,cm,g/cm3,cm,-,cm,g/cm3,ksi,-,-,-,-
TP-2003-210788,MD31,1.908,Al 99.9%,2.78,9.81968,0,7.15,Alclad 7075-T6,0.813,2.78,57.15,Al 2024-T351,0.8,2.796,47,E2,NP,0,0
TP-2003-210788,MD29,1.908,Al 99.9%,2.78,9.81968,0,7.08,Alclad 7075-T6,0.406,2.78,76.2,Al 2024-T351,0.622,2.796,47,E3,NP,0,0
TP-2003-210788,MD27,1.908,Al 99.9%,2.78,9.81968,0,7.15,Alclad 7075-T6,0.406,2.78,28.58,Al 2024-T351,2.827,2.796,47,D2,NP,0,0
TP-2003-210788,MD30,1.908,Al 99.9%,2.78,9.81968,0,7.27,Alclad 7075-T6,0.203,2.78,57.15,Al 2024-T351,1.626,2.796,47,D2,NP,0,0
TP-2003-210788,B613,0.794,Al 2017-T4,2.796,0.73382,0,6.98,Al 6061-T6,0.16,2.713,10.16,Al 2219-T87,0.318,2.852,52,F5,P,1,0
TP-2003-210788,B614,0.627,Al 2017-T4,2.796,0.36172,30,7.05,Al 6061-T6,0.127,2.713,10.16,Al 2219-T87,0.318,2.852,52,D5,P,1,0
TP-2003-210788,B615,0.631,Al 2017-T4,2.796,0.36839,45,7.05,Al 6061-T6,0.127,2.713,10.16,Al 2219-T87,0.318,2.852,52,D5,P,1,0
TP-2003-210788,B606,0.953,Al 2017-T4,2.796,1.26721,65,6.89,Al 6061-T6,0.081,2.713,20.32,Al 6061-T6,0.635,2.713,36,D5,P,1,0
TP-2003-210788,B461,0.319,Al 2017-T4,2.796,0.0474,60,6.81,Alclad 7075-T6,0.097,2.78,14.22,Alclad 7075-T6,0.198,2.78,65,E2,NP,0,0
TP-2003-210788,B488,0.318,Al 2017-T4,2.796,0.04729,65,6.94,Alclad 7075-T6,0.102,2.78,15.85,Alclad 7075-T6,0.152,2.78,65,E2,NP,0,0
TP-2003-210788,A2010R2,0.2,Al 2017-T4,2.796,0.01173,16,6.76,Alclad 7075-T6,0.102,2.78,13.61,Alclad 7075-T6,0.152,2.78,65,E2,NP,0,0
TP-2003-210788,A2017R2,0.219,Al 2017-T4,2.796,0.01537,16,4.45,Alclad 7075-T6,0.102,2.78,13.61,Alclad 7075-T6,0.152,2.78,65,E2,NP,0,0
TP-2003-210788,A2019R2,0.217,Al 2017-T4,2.796,0.01507,16,3.86,Alclad 7075-T6,0.102,2.78,13.61,Alclad 7075-T6,0.152,2.78,65,E2,NP,0,0
TP-2003-210788,A2025R2,0.159,Al 2017-T4,2.796,0.00587,16,3.4,Alclad 7075-T6,0.102,2.78,13.61,Alclad 7075-T6,0.152,2.78,65,E2,NP,0,0
TP-2003-210788,A2033R2,0.18,Al 2017-T4,2.796,0.00852,16,3.36,Alclad 7075-T6,0.102,2.78,13.61,Alclad 7075-T6,0.152,2.78,65,E2,NP,0,0
